GeneID	PathwayID	Description	SYMBOL	GENENAME
10327	hsa00010	Glycolysis / Gluconeogenesis	AKR1A1	aldo-keto reductase family 1 member A1
124	hsa00010	Glycolysis / Gluconeogenesis	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide
125	hsa00010	Glycolysis / Gluconeogenesis	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
126	hsa00010	Glycolysis / Gluconeogenesis	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
127	hsa00010	Glycolysis / Gluconeogenesis	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide
128	hsa00010	Glycolysis / Gluconeogenesis	ADH5	alcohol dehydrogenase 5 (class III), chi polypeptide
130	hsa00010	Glycolysis / Gluconeogenesis	ADH6	alcohol dehydrogenase 6 (class V)
130589	hsa00010	Glycolysis / Gluconeogenesis	GALM	galactose mutarotase
131	hsa00010	Glycolysis / Gluconeogenesis	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
160287	hsa00010	Glycolysis / Gluconeogenesis	LDHAL6A	lactate dehydrogenase A like 6A
1737	hsa00010	Glycolysis / Gluconeogenesis	DLAT	dihydrolipoamide S-acetyltransferase
1738	hsa00010	Glycolysis / Gluconeogenesis	DLD	dihydrolipoamide dehydrogenase
2023	hsa00010	Glycolysis / Gluconeogenesis	ENO1	enolase 1
2026	hsa00010	Glycolysis / Gluconeogenesis	ENO2	enolase 2
2027	hsa00010	Glycolysis / Gluconeogenesis	ENO3	enolase 3
217	hsa00010	Glycolysis / Gluconeogenesis	ALDH2	aldehyde dehydrogenase 2 family member
218	hsa00010	Glycolysis / Gluconeogenesis	ALDH3A1	aldehyde dehydrogenase 3 family member A1
219	hsa00010	Glycolysis / Gluconeogenesis	ALDH1B1	aldehyde dehydrogenase 1 family member B1
2203	hsa00010	Glycolysis / Gluconeogenesis	FBP1	fructose-bisphosphatase 1
221	hsa00010	Glycolysis / Gluconeogenesis	ALDH3B1	aldehyde dehydrogenase 3 family member B1
222	hsa00010	Glycolysis / Gluconeogenesis	ALDH3B2	aldehyde dehydrogenase 3 family member B2
223	hsa00010	Glycolysis / Gluconeogenesis	ALDH9A1	aldehyde dehydrogenase 9 family member A1
224	hsa00010	Glycolysis / Gluconeogenesis	ALDH3A2	aldehyde dehydrogenase 3 family member A2
226	hsa00010	Glycolysis / Gluconeogenesis	ALDOA	aldolase, fructose-bisphosphate A
229	hsa00010	Glycolysis / Gluconeogenesis	ALDOB	aldolase, fructose-bisphosphate B
230	hsa00010	Glycolysis / Gluconeogenesis	ALDOC	aldolase, fructose-bisphosphate C
2538	hsa00010	Glycolysis / Gluconeogenesis	G6PC1	glucose-6-phosphatase catalytic subunit 1
2597	hsa00010	Glycolysis / Gluconeogenesis	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
26330	hsa00010	Glycolysis / Gluconeogenesis	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic
2645	hsa00010	Glycolysis / Gluconeogenesis	GCK	glucokinase
2821	hsa00010	Glycolysis / Gluconeogenesis	GPI	glucose-6-phosphate isomerase
