Human	Mouse	Rat
AANAT	Aanat	Aanat
AATK	Aatk	Aatk
ABCA1	Abca1	Abca1
ABCA4	Abca4	Abca4
ABCA2	Abca2	Abca2
ABCB7	Abcb7	Abcb7
ABCG1	Abcg1	Abcg1
ABI1	Abi1	Abi1
ABL1	Abl1	Abl1
ABL2	Abl2	Abl2
ACADL	Acadl	Acadl
ACADM	Acadm	Acadm
ACADVL	Acadvl	Acadvl
ACADS	Acads	Acads
SLC33A1	Slc33a1	Slc33a1
ASIC2	Asic2	Asic2
ASIC1	Asic1	Asic1
ACE	Ace	NA
ACHE	Ache	Ache
APOC4	Apoc4	Apoc4
MACF1	Macf1	Macf1
ACO1	Aco1	Aco1
ACO2	Aco2	Aco2
ACOX1	Acox1	Acox1
ACP1	Acp1	Acp1
ACP2	Acp2	Acp2
ACP5	Acp5	Acp5
ACR	Acr	Acr
CHRNA1	Chrna1	Chrna1
CHRNA4	Chrna4	Chrna4
CHRNA6	Chrna6	Chrna6
CHRNB1	Chrnb1	Chrnb1
CHRNB2	Chrnb2	Chrnb2
CHRND	Chrnd	Chrnd
CHRNE	Chrne	Chrne
CHRNG	Chrng	Chrng
ADIPOQ	Adipoq	Adipoq
ACRV1	Acrv1	NA
ACTA1	Acta1	Acta1
ACTB	Actb	Actb
ACTC1	Actc1	Actc1
ACTG1	Actg1	Actg1
ACTG2	Actg2	Actg2
ACTL7A	Actl7a	Actl7a
ACTL7B	Actl7b	Actl7b
ACTN2	Actn2	Actn2
ACTN3	Actn3	Actn3
ACTA2	Acta2	Acta2
ACVR1	Acvr1	Acvr1
ACVR1B	Acvr1b	Acvr1b
ACVR2A	Acvr2a	Acvr2a
ACVR2B	Acvr2b	Acvr2b
ACVRL1	Acvrl1	Acvrl1
ASPA	Aspa	Aspa
ADA	Ada	Ada
ADAM10	Adam10	Adam10
ADAM11	Adam11	Adam11
ADAM12	Adam12	Adam12
ADAM15	Adam15	Adam15
ADAM17	Adam17	Adam17
ADAM19	Adam19	Adam19
ADAM2	Adam2	Adam2
ADAM22	Adam22	Adam22
ADAM7	Adam7	Adam7
ADAM8	Adam8	Adam8
ADAM9	Adam9	Adam9
ADAMTS1	Adamts1	Adamts1
ADCY6	Adcy6	Adcy6
ADCY7	Adcy7	Adcy7
ADCY8	Adcy8	Adcy8
ADCY9	Adcy9	Adcy9
ADCYAP1	Adcyap1	Adcyap1
ADCYAP1R1	Adcyap1r1	Adcyap1r1
ADD1	Add1	Add1
ADD2	Add2	Add2
PLIN2	Plin2	Plin2
ADH1C	Adh1	Adh1c
ADH7	Adh7	Adh7
ADH5	Adh5	Adh5
ADK	Adk	Adk
ADM	Adm	Adm
GPR182	Gpr182	Gpr182
CFD	Cfd	Cfd
ADNP	Adnp	Adnp
ADORA1	Adora1	Adora1
ADORA2A	Adora2a	Adora2a
ADORA2B	Adora2b	Adora2b
ADORA3	Adora3	Adora3
ADPRH	Adprh	Adprh
PARP1	Parp1	Parp1
PARP2	Parp2	Parp2
ADRA1B	Adra1b	Adra1b
ADRA1A	Adra1a	Adra1a
ADRA1D	Adra1d	Adra1d
ADRA2A	Adra2a	Adra2a
ADRA2B	Adra2b	Adra2b
ADRA2C	Adra2c	Adra2c
ADRB1	Adrb1	Adrb1
ADRB2	Adrb2	Adrb2
ADRB3	Adrb3	Adrb3
ADSL	Adsl	Adsl
ADSS1	Adss1	Adss1
ADSS2	Adss2	Adss2
AVIL	Avil	Avil
AEBP1	Aebp1	Aebp1
AEBP2	Aebp2	Aebp2
CRISP1	Crisp1	Crisp1
AFP	Afp	NA
AGA	Aga	Aga
ACAN	Acan	Acan
AGER	Ager	Ager
ANGPT1	Angpt1	Angpt1
ANGPT2	Angpt2	Angpt2
ANGPT4	Angpt4	Angpt4
AGRN	Agrn	Agrn
AGRP	Agrp	Agrp
GLA	Gla	Gla
AGT	Agt	Agt
AGTR1	Agtr1b	Agtr1b
AGTR2	Agtr2	Agtr2
AGTRAP	Agtrap	Agtrap
AGXT	Agxt	Agxt
NR0B1	Nr0b1	Nr0b1
AHR	Ahr	Ahr
AHRR	Ahrr	Ahrr
AHSG	Ahsg	Ahsg
AICDA	Aicda	Aicda
AIF1	Aif1	Aif1
CRYBG1	Crybg1	Crybg1
AIP	Aip	Aip
AIRE	Aire	Aire
AK1	Ak1	Ak1
AK2	Ak2	Ak2
AK4	Ak4	Ak4
AKAP1	Akap1	Akap1
AKAP3	Akap3	Akap3
AKAP4	Akap4	Akap4
ALPL	Alpl	Alpl
AKT1	Akt1	Akt1
AKT2	Akt2	Akt2
ALAS1	Alas1	Alas1
ALAS2	Alas2	Alas2
ALB	Alb	Alb
ALCAM	Alcam	Alcam
ABCD1	Abcd1	Abcd1
ALDH2	Aldh2	Aldh2
ALDH3A1	Aldh3a1	Aldh3a1
ALDOA	Aldoa	Aldoa
ALDOC	Aldoc	Aldoc
AKR1B1	Akr1b1	Akr1b1
ALK	Alk	Alk
ALOX12	Alox12	Alox12
ALOX12B	Alox12b	Alox12b
ALOX15B	Alox8	Alox15b
ALOX5	Alox5	Alox5
ALOX5AP	Alox5ap	Alox5ap
GFER	Gfer	Gfer
ALX3	Alx3	Alx3
ALX4	Alx4	Alx4
AMBN	Ambn	Ambn
AMBP	Ambp	Ambp
AMD1	Amd1	Amd1
AMELX	Amelx	Amelx
AMH	Amh	Amh
AMPD3	Ampd3	Ampd3
MAT1A	Mat1a	Mat1a
ANG	Ang	Ang
ANKH	Ank	Ankh
ANK1	Ank1	Ank1
ANK3	Ank3	Ank3
ANKFY1	Ankfy1	Ankfy1
ANP32A	Anp32a	Anp32a
SLC25A4	Slc25a4	Slc25a4
SLC25A5	Slc25a5	Slc25a5
ANXA11	Anxa11	Anxa11
ANXA3	Anxa3	Anxa3
ANXA4	Anxa4	Anxa4
ANXA5	Anxa5	Anxa5
ANXA6	Anxa6	Anxa6
ANXA7	Anxa7	Anxa7
AOC3	Aoc3	NA
PRDX3	Prdx3	Prdx3
PRDX6	Prdx6	Prdx6
AOX1	Aox1	Aox1
AP1B1	Ap1b1	Ap1b1
AP1G1	Ap1g1	Ap1g1
AP1G2	Ap1g2	Ap1g2
AP1M1	Ap1m1	Ap1m1
AP1M2	Ap1m2	Ap1m2
AP1S1	Ap1s1	Ap1s1
FABP4	Fabp4	Fabp4
AP2A1	Ap2a1	Ap2a1
AP2A2	Ap2a2	Ap2a2
AP2M1	Ap2m1	Ap2m1
AP3B1	Ap3b1	Ap3b1
AP3B2	Ap3b2	Ap3b2
AP3D1	Ap3d1	Ap3d1
AP3S1	Ap3s1	Ap3s1
AP3S2	Ap3s2	Ap3s2
AP4M1	Ap4m1	Ap4m1
AP4S1	Ap4s1	Ap4s1
APAF1	Apaf1	Apaf1
APBA2	Apba2	Apba2
APBB1	Apbb1	Apbb1
APBB2	Apbb2	Apbb2
APC	Apc	Apc
SPEG	Speg	Speg
APEX1	Apex1	Apex1
ATG5	Atg5	Atg5
BIRC2	Birc2	Birc2
XIAP	Xiap	Xiap
BIRC5	Birc5	Birc5
API5	Api5	Api5
CD5L	Cd5l	Cd5l
APLP1	Aplp1	Aplp1
APLP2	Aplp2	Aplp2
APOA1	Apoa1	Apoa1
APOA2	Apoa2	Apoa2
APOA4	Apoa4	Apoa4
APOBEC1	Apobec1	Apobec1
APOBEC2	Apobec2	Apobec2
APOC1	Apoc1	Apoc1
APOC2	Apoc2	Apoc2
APOC3	Apoc3	Apoc3
APOD	Apod	Apod
APOE	Apoe	Apoe
APOH	Apoh	Apoh
NR2F2	Nr2f2	Nr2f2
APP	App	App
APRT	Aprt	Aprt
AQP1	Aqp1	Aqp1
AQP2	Aqp2	Aqp2
AQP3	Aqp3	Aqp3
AQP4	Aqp4	Aqp4
AQP5	Aqp5	Aqp5
AQP6	Aqp6	Aqp6
AQP7	Aqp7	Aqp7
AQP8	Aqp8	Aqp8
AQR	Aqr	Aqr
AR	Ar	Ar
ARAF	Araf	Araf
RPLP0	Rplp0	Rplp0
ARC	Arc	Arc
AREG	Areg	Areg
ARF1	Arf1	Arf1
ARF3	Arf3	Arf3
ARF4	Arf4	Arf4
ARF5	Arf5	Arf5
ARF6	Arf6	Arf6
ARG1	Arg1	Arg1
ARG2	Arg2	Arg2
RHOA	Rhoa	Rhoa
RHOB	Rhob	Rhob
RHOC	Rhoc	Rhoc
RHOD	Rhod	Rhod
ARHGAP5	Arhgap5	Arhgap5
ARHGAP6	Arhgap6	Arhgap6
ARHGDIB	Arhgdib	Arhgdib
RND2	Rnd2	Rnd2
PHOX2A	Phox2a	Phox2a
ARL4A	Arl4a	Arl4a
ARNT	Arnt	Arnt
ARNT2	Arnt2	Arnt2
BMAL1	Bmal1	Bmal1
ARPC1B	Arpc1b	Arpc1b
ART1	Art1	Art1
ART5	Art5	Art5
ARTN	Artn	Artn
ARVCF	Arvcf	Arvcf
ARX	Arx	Arx
ARSB	Arsb	Arsb
ARSA	Arsa	Arsa
ASAH1	Asah1	Asah1
ASGR2	Asgr2	Asgr2
RAB27A	Rab27a	Rab27a
ASS1	Ass1	Ass1
ASTN1	Astn1	Astn1
SERPINC1	Serpinc1	Serpinc1
ZFHX3	Zfhx3	Zfhx3
ATE1	Ate1	Ate1
ATF1	Atf1	Atf1
ATF2	Atf2	Atf2
ATF3	Atf3	Atf3
ATF4	Atf4	Atf4
ATM	Atm	Atm
ATOH1	Atoh1	Atoh1
NEUROD6	Neurod6	Neurod6
NEUROD4	Neurod4	Neurod4
NEUROG2	Neurog2	Neurog2
NEUROG3	Neurog3	Neurog3
ATOX1	Atox1	Atox1
ATP1A1	Atp1a1	Atp1a1
ATP1B1	Atp1b1	Atp1b1
ATP1B2	Atp1b2	Atp1b2
ATP1B3	Atp1b3	Atp1b3
FXYD2	Fxyd2	Fxyd2
ATP2A1	Atp2a1	Atp2a1
ATP2A2	Atp2a2	Atp2a2
ATP2B2	Atp2b2	Atp2b2
ATP4A	Atp4a	Atp4a
ATP4B	Atp4b	Atp4b
ATP5F1A	Atp5f1a	Atp5f1a
ATP5F1B	Atp5f1b	Atp5f1b
ATP5F1C	Atp5f1c	Atp5f1c
ATP5PB	Atp5pb	Atp5pb
ATP5MC1	Atp5mc1	Atp5mc1
ATP5PF	Atp5pf	Atp5pf
ATP5ME	Atp5me	Atp5me
ATP6V1A	Atp6v1a	Atp6v1a
ATP6V1B2	Atp6v1b2	Atp6v1b2
ATP6V0D1	Atp6v0d1	Atp6v0d1
ATP6V1E1	Atp6v1e1	Atp6v1e1
ATP6V0E1	Atp6v0e	Atp6v0e1
ATP6V0A1	Atp6v0a1	Atp6v0a1
ATP7A	Atp7a	Atp7a
ATP7B	Atp7b	Atp7b
ATP8A1	Atp8a1	Atp8a1
ATP9A	Atp9a	Atp9a
ATP10A	Atp10a	Atp10a
ATP5IF1	Atp5if1	Atp5if1
ATP6V0C	Atp6v0c	Atp6v0c
SLC7A1	Slc7a1	Slc7a1
SLC7A2	Slc7a2	Slc7a2
SLC7A3	Slc7a3	Slc7a3
ATRN	Atrn	Atrn
HNRNPD	Hnrnpd	Hnrnpd
AUH	Auh	Auh
AUP1	Aup1	Aup1
PCDH15	Pcdh15	Pcdh15
AVP	Avp	Avp
AVPR2	Avpr2	Avpr2
AXIN1	Axin1	Axin1
AXIN2	Axin2	Axin2
AZGP1	Azgp1	Azgp1
CEP131	Cep131	Cep131
B2M	B2m	B2m
BAAT	Baat	Baat
BACH1	Bach1	Bach1
BACH2	Bach2	Bach2
BAD	Bad	Bad
BAG1	Bag1	Bag1
BAK1	Bak1	Bak1
NKX3-2	Nkx3-2	Nkx3-2
BARD1	Bard1	Bard1
BARX1	Barx1	Barx1
BARX2	Barx2	Barx2
BAX	Bax	Bax
BCL6B	Bcl6b	Bcl6b
BCAN	Bcan	Bcan
BCAP29	Bcap29	Bcap29
PHB2	Phb2	Phb2
BCAT1	Bcat1	Bcat1
BCAT2	Bcat2	Bcat2
BCHE	Bche	Bche
BCKDHA	Bckdha	Bckdha
BCKDHB	Bckdhb	Bckdhb
BCKDK	Bckdk	Bckdk
BCL10	Bcl10	Bcl10
BCL2	Bcl2	Bcl2
BCL2L1	Bcl2l1	Bcl2l1
BCL2L10	Bcl2l10	Bcl2l10
BCL2L2	Bcl2l2	Bcl2l2
BCL3	Bcl3	Bcl3
BCL6	Bcl6	Bcl6
BCL7B	Bcl7b	Bcl7b
BCL7C	Bcl7c	Bcl7c
OPN1SW	Opn1sw	Opn1sw
BDKRB1	Bdkrb1	Bdkrb1
BDKRB2	Bdkrb2	Bdkrb2
BDNF	Bdnf	Bdnf
BET1	Bet1	Bet1
BEX1	Bex2	NA
BEX3	Bex3	Bex3
BFSP1	Bfsp1	Bfsp1
GLB1	Glb1	Glb1
